month,day,day of year,mean
11,5,310,18300
11,6,311,17600
11,7,312,18300
11,8,313,18500
11,9,314,18000
11,10,315,17900
11,11,316,18600
11,12,317,19200
11,13,318,19500
11,14,319,19900
11,15,320,19800
11,16,321,19900
11,17,322,19000
11,18,323,18800
11,19,324,18600
11,20,325,19600
11,21,326,19600
11,22,327,18700
11,23,328,19700
11,24,329,21800
11,25,330,22200
11,26,331,21900
11,27,332,21700
11,28,333,21500
11,29,334,20200
11,30,335,19600
12,1,336,19300
12,2,337,20200
12,3,338,21100
12,4,339,21900
12,5,340,20500
12,6,341,19000
12,7,342,18100
12,8,343,17400
12,9,344,18000
12,10,345,19100
12,11,346,19700
12,12,347,19900
12,13,348,20000
12,14,349,19800
12,15,350,19400
12,16,351,19100
12,17,352,18700
12,18,353,18800
12,19,354,18400
12,20,355,18000
12,21,356,18000
12,22,357,17200
12,23,358,16800
12,24,359,17200
12,25,360,16500
12,26,361,16000
12,27,362,16700
12,28,363,16600
12,29,364,16600
12,30,365,16600
12,31,366,15900
